singkatan;original
pndukung;pendukung
pngen;ingin 
pngn;ingin 
pnjng;panjang 
pnting;penting 
pntng;penting 
pny;punya 
pnya;punya 
pokonya;pokoknya 
polantas;polisi lalu lintas
ponpes;pondok pesantren
pp;pulang pergi
praktek;praktik 
prasaan;perasaan 
prg;pergi
prgi;pergi 
priksa;periksa
prmhn;perumahan 
prmptn;perempatan 
prnah;pernah 
prnh;pernah
pro;profesional
problem;masalah
prthnkn;pertahankan 
psen;pesan
psg;pasang 
psn;pesan
psng;pasang 
psr;pasar 
pst;pasti
psti;pasti
pswt;pesawat
ptg;penting 
puanas;panas
punye;punya 
puter;putar 
puterin;putar 
pw;posisi nyaman
pzt;pasti
q;saya
qaqa;kakak
qmo;kamu
qmu;kamu
qq;kakak
qt;kita
qta;kita 
rada;agak 
rakor;rapat koordinasi
rame;ramai
rame2;ramai-ramai 
ranmor;kendaraan bermotor
rasane;rasanya 
raskin;rakyat miskin
rb;ribu 
re;reply
red;redaksi
ref;referensi
reg;register
rehab;rehabilitasi
rejeki;rezeki
reklamuk;reklamasi
rempong;sulit
renstra;rencana strategis
repp;balas
reskrim;reserse kriminal
restik;reserse narkotika
rhs;rahasia
rights;benar
rmbt;rambut 
rmh;rumah
rmhq;rumahku 
rsk;rusak 
ru;baru
rubahnn;rubah
ruko;rumah toko
rusunawa;rumah susun sewa
ruz;terus
sabeb;bebas
sabi;bisa
sadaar;sadar
saia;saya
saje;saja 
salfok;salah fokus
salting;salah tingkah
saltum;salah kostum
sambel;sambal 
samo;sama 
sampe;sampai
samsek;sama sekali
sans;santai 
sape;siapa 
sapose;siapa
sateny;satenya 
satpam;satuan pengamanan
sbb;sebagai berikut
sbg;sebagai 
sbh;sebuah
sbl;sebelah 
sblh;sebelah 
sblhny;sebelahnya 
sblm;sebelum 
sblmny;sebelumnya 
sbnr;sebenarnya 
sbnrny;sebenarnya
sbnrnya;sebenarnya 
sbnt;sebentar 
sbntr;sebentar 
sbr;sabar 
sbtr;sebentar 
scr;secara
sdah;sudah 
sdg;sedang 
sdgkn;sedangkan
sdh;sudah 
sdkt;sedikit
sdng;sedang 
sdngkn;sedangkan 
se7;setuju
sebel;kesal 
sebelas dua belas;mirip
sebenernya;sebenarnya 
sekola;sekolah 
selaw;santai
selow;sebentar 
semalem;semalam 
sembako;sembilan bahan pokok
sembuhin;sembuhkan 
sempet;sempat
sendratari;seni drama tari
senen;senin 
seneng;senang 
sept;september
serem;seram 
sesek;sesak
seterah;terserah 
seting;akting
setting;atur
sgala;segala 
sgini;segini 
sgitu;segitu 
sgt;sangat
shap;siap
shaps;siap
shbt;sahabat 
shg;sehingga
shiet;tahi 
shit;tahi 
siech;sih
sihat;sehat 
sikon;situasi dan kondisi
simiskin;miskin
sinetron;sinema elektronik
siramin;siramkan
sj;saja
sja;saja 
skali;sekali 
skalian;sekalian
skit;sakit 
sklh;sekolah
skola;sekolah 
skolah;sekolah 
skr;sekarang 
skrang;sekarang 
skrg;sekarang 
skrng;sekarang 
skt;sakit
slah;salah 
slalu;selalu 
slamat;selamat 
slesai;selesai
slg;saling 
slh;salah 
slhkn;salahkan 
sll;selalu
sllu;selalu 
slm;salam 
slma;selama
slmt;selamat 
sls;selesai 
slsai;selesai
sm;sama 
sma;sama
smangat;semangat 
smbg;sambung 
smbh;sembuh 
smbhyg;sembahyang 
smbil;sambil 
smbl;sambil 
smbng;sambung 
smbrg;sembarang 
smbuh;sembuh 
smcm;semacam 
smg;semoga 
smga;semoga 
smgt;semangat 
smlm;semalam 
smlmn;semalaman 
smngt;semangat 
smntr;sementara 
smoga;semoga 
smpai;sampai 
smpe;sampai 
smpt;sempat
smua;semua 
smuanya;semuanya 
smw;semua
sndiri;sendiri
sndri;sendiri 
sngt;sangat 
sni;sini
snyum;senyum 
soale;soalnya 
sodara;saudara 
sohib;teman
soljum;sholat jumat
solve;solusi
somse;sombong sekali
songong;sombong
sopo;siapa 
sorang;seorang 
sorry;maaf
sory;maaf
sosbud;sosial-budaya
sosek;sosial-ekonomi
sospol;sosial-politik
sotoy;sok tahu
sowry;maaf
spa;siapa
spd;sepeda
sperti;seperti 
spnjng;sepanjang 
sppa;siapa
sprt;seperti 
sprti;seperti
sprtny;sepertinya 
spt;seperti
sptny;sepertinya 
spy;supaya
srg;sering 
srtfkt;sertifikat
sseorg;seseorang 
stelah;setelah
stgh;setengah 
stiap;setiap
still;masih
stlh;setelah
stngh;setengah 
subbag;subbagian
sudh;sudah 
suk;masuk
sumbangin;sumbangkan
sumpek;sempit
sy;saya
sya;saya 
syantik;cantik
syg;sayang
sygku;sayangku 
sygny;sayangnya 
syipp;sip
syng;sayang 
syp;siapa
t4;tempat
tabanas;tabungan pembangunan nasional
tahi;kotoran
tai;tahi 
taik;tahi
tajir;kaya
tak;tidak
tamvan;tampan
tar;nanti
tau;tahu
tauk;tahu
taun;tahun
taunya;tahunya 
taw;tahu
tawh;tahu
td;tadi
tdi;tadi
tdk;tidak
tdny;tadinya 
tdr;tidur 
tdur;tidur 
te2p;tetap
teh;kakak perempuan
tekor;rugi
telat;terlambat
telkom;telekomunikasi
telmi;telat berpikir
telor;telur 
telp;telepon
telpon;telepon 
temen;teman
temen2;teman-teman
temenin;temani 
tengil;menyebalkan
tengok;menjenguk
tepar;terkapar
terbitin;terbitkan
tercyduk;terciduk
teriakk;teriak 
teros;terus 
tetep;tetap 
tgannya;tangannya 
tggu;tunggu
tgh;tengah 
tgl;tanggal
tgn;tangan 
tgs;tugas 
tgu;tunggu
thanks;terima kasih
thankz;terima kasih
thd;terhadap
thdp;terhadap 
thks;terima kasih
thn;tahun
thnx;terima kasih
thx;terima kasih
tida;tidak 
tilang;bukti pelanggaran
tilep;tilap
tioghoa;tionghoa
tipi;TV
tipiwan;TvOne
tirani;tiran
tkg;tukang
tks;terima kasih
tkut;tsayat 
tlg;tolong 
tlh;telah 
tll;terlalu
tlng;tolong 
tlp;telepon
tlpn;telepon
tls;tulis
tman;teman
tmbah;tambah
tmbh;tambah
tmen;teman 
tmen2;teman-teman
tmn;teman 
tmn2;teman-teman
tmpah;tumpah
tmpat;tempat 
tmph;tumpah
tmpt;tempat
tmsk;termasuk 
tnda;tanda
tngu;tunggu
tnh;tanah
tnp;tanpa 
tnpa;tanpa 
tny;ternyata 
tnya;tanya 
tnyt;ternyata 
tnyta;ternyata
togel;toto gelap
tokai;tai
toserba;toko serba ada
tp;tapi
tpi;tapi
tq;terima kasih
trdhulu;terdahulu
trdpt;terdapat 
tren;trend
trending;trend
trgntg;tergantung
trgntng;tergantung 
trima;terima kasih
trims;terima kasih
trimz;terima kasih
trjadi;terjadi 
trkdng;terkadang 
trkhr;terakhir 
trlalu;terlalu
trm;terima
trmksh;terima kasih
trmsk;termasuk 
trnsfr;transfer 
trnyata;ternyata 
trnyt;ternyata 
trs;terus
trsrh;terserah 
trus;terus 
trutama;terutama
ts;penulis
tsadeest;sadis
tsangka;tersangka
tsb;tersebut 
tsbt;tersebut 
tst;tahu sama tahu
ttep;tetap 
ttg;tentang
ttp;tetap 
tu;itu 
tuch;tuh
tuir;tua
tukeran;tukar 
tumben;tidak biasa
tw;tahu
u;kamu
uasai;kuasa
ubat;obat 
ud;sudah
uda;sudah 
udah;sudah
udd;sudah
udeh;sudah 
udh;sudah 
uga;juga
ujan2an;hujan-hujanan 
ujg;ujung
ul;ulangan
untk;untuk 
unyu;lucu
uplot;unggah
urang;saya
usah;perlu
utk;untuk
valas;valuta asing
von;telepon
w;saya
w/;dengan
wa;saya
wad;buat
wadir;wakil direktur
waduh;aduh 
wamil;wajib militer
wanjir;anjir 
warkop;warung kopi
warteg;warung tegal
waspadalah;waspada
wat;buat
watuk;batuk
wht;apa 
wkt;waktu
wktu;waktu 
wkwkkw;tertawa
wtf;what the fuck
xixixi;tertawa
y;ya
ya;iya
yaini;ya ini
yank;sayang 
yap;iya
yaudah;ya sudah
yaudh;ya sudah
yaw;ya
yawda;ya sudah
yawdah;ya sudah
yela;yailah 
yelah;yailah 
yg;yang
yl;yang lain
yng;yang 
yo;iya
yodah;ya sudah
yoi;iya
yowes;ya sudah
yup;iya
yups;ya
yupz;ya
ywdh;ya sudah
zonk;bodoh
