singkatan;original
cipika cipiki;cium pipi kanan cium pipi kiri
ciye;cie
ciyh;sih
ciyus;serius
ckck;ck
ckepp;cakep
ckp;cakep
ckrg;sekarang 
ckup;cukup 
clbk;cinta lama bersemi kembali
cll;selalu
cllu;selalu
cllw;selalu
cm;cuma 
cma;cuma 
cman;hanya 
cmiiw;correct me if i'm wrong
cmn;hanya 
cmpk;cempaka 
cmpr;campur
cmpur;campur
cnenk;senang
cobaa;coba 
coeg;jancuk 
cong;banci
congor;mulut
conlok;cinta lokasi
cow;cowok
cowo;cowok 
cowwyy;maaf
coz;karena
cp;siapa
cpa;siapa
cpat;cepat 
cpe;capek
cpee;capek
cpet;cepat 
cppe;capek
cpt;cepat 
cptn;cepatan 
crt;cerita 
cth;contoh 
cucok;cocok
cuex;cuek
cug;jancuk 
cuk;jancuk 
cuman;hanya
cumi;Cuma miscall
cungguh;sungguh 
cups;culun
curanmor;pencurian kendaraan bermotor
curcol;curahan hati colongan
cw;cewek 
cwe;cewek 
cwek;cewek
cwo;cowok 
cyang;sayang 
cyin;cinta
d;di
dah;deh
dalem;dalam 
dapa;ada apa
dapah;ada apa
dapet;dapat
dapetin;mendapatkan 
dateng;datang 
dberkahi;diberkahi 
dblg;dibilang 
dblkng;dibelakang 
dbls;dibalas 
dbwt;dibuat 
dbyr;dibayar 
de;adik
dek;adik
demen;suka
denger;dengar 
deres;deras 
deyh;deh
dftr;daftar 
dg;dengan 
dgn;dengan
dgr;dengar 
dgrn;dengarin 
dh;deh 
diancurin;dihancurkan
didenger;didengar 
didengerin;didengarkan 
diem;diam 
dijadiin;dijadikan 
dikit;sedikit 
dimaafin;dimaafkan
dimance;dimana
dimandose;dimana
dimans;dimana
dimintak;diminta
dipake;dipakai 
dipendem;dipendam 
dirmh;di rumah 
disono;di sana
ditemenin;ditemani 
djkt;di jakarta 
djl;di jalan 
djln;di jalan 
dkat;dekat 
dket;dekat
dkk;dan kawan-kawan
dkls;di kelas 
dkmps;di kampus 
dkmr;di kamar 
dkntr;di kantor 
dksh;dikasih 
dkt;dekat 
dl;dulu 
dll;dan lain-lain
dlm;dalam 
dlrng;dilarang 
dlu;dulu
dluan;duluan 
dmana;dimana 
dmkn;dimakan 
dmn;dimana 
dmna;dimana 
dmnmn;dimana-mana 
dmny;dimananya 
dng;dengan 
dngar;dengar 
dnger;dengar 
dngerin;dengar 
dngn;dengan
dngr;dengar 
doang;saja 
doank;saja 
dodol;bodoh
doku;uang
dongs;dong
donlot;download 
doyan;suka 
dpan;depan 
dpet;dapat 
dpk;depok 
dpkrkn;dipikirkan 
dpn;depan 
dpnrmh;depan rumah 
dpt;dapat
dr;dari 
drg;dokter gigi 
drh;darah 
dri;dari
drmh;di rumah 
drmn;darimana
drpd;daripada 
drtd;dari tadi
drumah;di rumah
dsb;dan sebagainya
dsblh;di sebelah
dsini;disini 
dsklh;di sekolah
dsni;di sini
dst;dan seterusnya
dtg;datang
dtgny;datangnya 
dtmbh;ditambah 
dtmpt;di tempat
dtng;datang 
duh;aduh
duluw;dulu
duren;durian
dy;dia 
ea;ya
ed;edisi
eeq;feses 
egp;emang gue pikirin
eke;aku
elo;kamu 
elu;kamu
emang;memang 
emangnya;memangnya
emank;memang 
emg;memang 
emng;memang
endak;tidak
engga;tidak 
enggak;tidak
enk;enak 
entar;nanti 
ente;anda 
envy;iri
eps;episode 
eteb;bosan
eug;saya
ex;mantan
faham;paham 
faktakta;fakta
fav;favorit
fave;favorit
fax;facsimile
fb;facebook 
fifo;first in first out
folbek;follow back
fyi;sebagai informasi
g;tidak
ga;tidak 
gaada;tidak ada uang
gabisa;tidak bisa
gaboleh;tidak boleh
gabut;menganggur
gada;tidak ada
gaenak;tidak enak
gag;tidak
gajadi;tidak jadi
gaje;tidak jelas
gajelas;tidak jelas
gak;tidak 
gak papa;tidak apa-apa
gakuat;tidak kuat
gakz;tidak
galo;galau 
gamasuk;tidak masuk
gamau;tidak mau
gan;juragan
gantengsaya;ganteng
gapake;tidak pakai
gapapa;tidak apa-apa
gapernah;tidak pernah
gaptek;gagap teknologi
gapunya;tidak punya
garem;garam 
gasuka;tidak suka
gatau;tidak tahu
gataw;tidak tahu
gatek;gagap teknologi
gatel;gatal 
gausah;tidak usah
gawe;kerja
gblk;goblok
gbr;gambar 
gbs;tidak bisa
gdg;gudang 
gebetan;orang yang disuka
geje;tidak jelas
gembel;jelek 
gengges;ganggu
gepeng;gelandangan dan pengemis
ghiy;lagi
gi;lagi
gilak;gila 
gile;gila
gimana;bagaimana
gino;gigi nongol
githu;gitu
gitu;begitu 
gituan;begitu 
gituh;begitu 
gituin;itu 
gj;tidak jelas
gk;tidak 
gmana;bagaimana
gmbr;gambar 
gmn;bagaimana 
gmna;bagaimana 
gmpg;gampang 
gmpng;gampang 
gn;begini
gni;begini 
gnti;ganti 
goblok;bodoh
gokil;gila
golput;golongan putih
gombal;suka merayu
gowes;mengayuh sepeda
gpl;tidak pakai lama
gpny;tidak punya
gpp;tidak apa-apa
gprnh;tidak pernah
gr;gede rasa
gr2;gara-gara 
gratisan;gratis 
gretong;gratis
gretongan;gratisan
gt;begitu
gtau;tidak tahu
gtu;begitu 
gtw;tidak tahu
gua;saya
gue;saya
guoblok;goblok
guys;teman-teman
gw;saya
gws;cepat sembuh
gx;tidak
ha;tertawa
hadeh;aduh 
haghaghag;tertawa
haha;tertawa
hakhak;tertawa
hallow;halo
handak;bahan peledak
hankam;pertahanan dan keamanan
hansip;pertahanan sipil
hapal;hafal
happy;bahagia
haqq;hakiki 
hardcore;keras
hargain;hargai 
harini;hari ini
hbd;happy birthday
hbis;habis 
hbng;hubungi 
hbs;habis 
hbskn;habiskan 
hehe;he
hellow;halo
helo;halo
helow;halo
heters;pembenci
hey;hai
hi;hai
hlg;hilang 
hlm;halaman
hlmn;halaman 
hlng;hilang
hny;hanya
hnya;hanya
hoax;isu bohong
houm;rumah
hqq;hakiki 
hr;hari
hrg;harga 
hrgny;harganya 
hri;hari 
hrs;harus
hrsny;harusnya 
hrus;harus
hti;hati 
hubad;hubungan angkatan darat
hubdar;perhubungan darat
hubla;perhubungan laut
huff;mengeluh
huft;mengeluh
hum;rumah
humas;hubungan masyarakat
hums;rumah
humz;rumah
huum;iya
idiiot;idiot 
idk;saya tidak tahu
idup;hidup
ikon;lambang
ilang;hilang
ilfeel;tidak suka
ilfil;tidak suka
ily;saya cinta kamu 
imba;jago sekali
imho;in my humble opinion
imoet;imut
imoetz;imut
info;informasi
inget;ingat 
ingetin;ingatkan 
ingt;ingat 
isengin;bercanda
ista;nista
istaa;nista
istrht;istirahat 
item;hitam
itumah;itu 
itung;hitung
itungan;hitungan
ituu;itu 
iy;iya 
iyach;iya
iyain;mengiyakan 
iyala;iya lah
iyap;iya
iyapz;iya
iye;iya
iyo;iya
iyoo;iya 
iyup;iya
iyupz;iya
ja;saja
jablay;jarang dibelai
jadiin;jadi
jadul;jaman dulu
jadull;jadul 
jaim;jaga image
jamber;jam berapa
jancoeg;jancuk 
jancuk;anjing
jatoh;jatuh 
jawabanya;jawabannya 
jayus;tidak lucu
jd;jadi
jdi;jadi
jdikan;jadikan
jdny;jadinya 
jdnya;jadinya 
jdwl;jadwal 
jem;jam
jentelmen;berani
jg;juga
jga;juga
jgan;jangan 
jglh;jagalah 
jgn;jangan
jgnjgn;jangan-jangan 
jgnkan;jangankan
jijay;jijik
jing;anjing 
jink;anjing 
jir;anjing
jk;jika 
jkrt;jakarta 
jkt;jakarta
jl;jalan 
jln;jalan
jm;jam 
jmbtn;jembatan 
jml;jumlah 
jmlh;jumlah 
jmpt;jemput 
jmt;jumat 
jng;jangan 
jngan;jangan 
jngn;jangan 
jnj;janji
jomblo;tidak punya pacar
jpn;jepang 
jrg;jarang 
jrng;jarang 
jth;jatuh
jubir;juru bicara
jurdil;jujur adil
jutek;galak
jwb;jawab
jwbn;jawaban 
jwbny;jawabannya 
k;ke
ka;kakak
kab;kabupaten
kabag;kepala bagian
kabor;kabur
kacian;kasihan
kacrut;kacau
kadit;kepala direktorat
kadiv;kepala divisi
kaga;tidak
kagak;tidak
kaka;kakak
kalee;kali 
kaleyan;kalian
kalo;kalau
kalu;kalau
kampret;sialan
kamsud;maksud 
kamtib;keamanan dan ketertiban
kamtibmas;keamanan dan ketertiban masyarakat
kamuh;kamu
kamuwh;kamu
kamyu;kamu
kanwil;kantor wilayah
kaos/mug/jaket; 
kapt;kapten
karna;karena
karoke;karaoke 
kasat;kepala satuan
kasian;kasihan 
kasubbag;kepala subbagian
kasubbid;kepala subbidang
katrok;kampungan
kau;kamu
kayak;mirip 
kayanya;kayaknya
kbar;kabar
kbnykn;kebanyakan 
kbr;kabar
kbtln;kebetulan 
kbykn;kebanyakan 
kcian;kasihan
kdg;kadang 
kdng;kadang 
kdpn;ke depan
kdu;harus
kebawa;terbawa 
keburu;terlanjur
kec;kecamatan
kecakepan;kecakapan 
kedubes;kedutaan besar
kejurnas;kejuaraan nasional
kek;seperti
kekeuh;keras kepala
keknya;kayaknya
kel;kelurahan
kelaperan;kelaparan 
kelar;selesai 
keles;kali
keliatan;kelihatan
kemaren;kemarin
kenapah;kenapa
kenape;kenapa 
kenaps;kenapa
kenapz;kenapa
kenceng;kencang 
keneh;masih
kentot;senggama
kepengen;mau
kepikiran;terpikirkan
kepingin;mau
kepngn;ingin 
kepo;mau tahu urusan orang
kepsek;kepala sekolah
kere;tidak punya uang
kerikil;kerikil 
kesampean;kesampaian 
kesbang;kesatuan bangsa
kesel;kesal 
kesian;kasihan
kesra;kesejahteraan rakyat
ketauan;ketahuan
ketawa;tertawa 
ketrima;diterima
keujanan;kehujanan 
keukeuh;keras kepala
keyen;keren
kga;tidak 
kgak;tidak 
kgiatan;kegiatan
kgk;tidak 
khabar;kabar 
khan;kan
khanz;kan
khsny;khususnya 
khwtr;khawatir 
kibul;bohong
kibus;kaki busuk
kimpoi;kawin
kirimin;kirimkan 
kite;kita 
kk;kakak
kl;kalau
klau;kalau 
klh;kalah 
kli;kali 
klian;kalian
klianz;kalian
klmpk;kelompok 
klo;kalau
kloter;kelompok terbang
klp;kelompok 
kls;kelas 
klu;kalau 
kluar;keluar 
kluarga;keluarga
klw;kalau
klwrga;keluarga
km;kamu
kmaren;kemarin 
kmari;kemari
kmi;kami 
kmn;kemana 
kmna;kemana 
kmpret;kampret 
kmps;kampus
kmpus;kampus
kmr;kamar 
kmren;kemarin 
kmrin;kemarin 
kmrn;kemarin
kmu;kamu 
kn;kan
kna;kena 
knal;kenal
knapa;kenapa 
kngen;kangen 
knl;kenal
knp;kenapa
knpa;kenapa
kntr;kantor 
knyng;kenyang 
koar;teriak
kodya;kota madya
kog;kok
komdis;komisi disiplin
kompi;komputer
komsov;komunis sovyet
komtiong;komunis Tiongkok
kongkow;kumpul bareng teman-teman
konjen;konsulat jenderal
konsen;konsentrasi 
kopdar;kopi darat
koq;kok
korup;korupsi
kosan;kost 
kowe;kamu 
kpala;kepala 
kpan;kapan 
kpd;kepada
kpgn;ingin 
kpn;kapan
kpngn;ingin 
kptsan;keputusan
krenz;keren
krg;kurang 
krik;garing
krikil;kerikil 
krja;kerja 
krm;kirim
krmh;ke rumah
krn;karena
krna;karena 
krng;kurang 
krupuk;kerupuk 
ksh;kasih 
ksian;kasihan 
ksih;kasih 
ksmptn;kesempatan 
ksn;kesana 
kt;kita
kta;kita 
ktauan;ketahuan
ktdrn;ketiduran 
ktemu;ketemu 
ktipu;tipu
ktmpt;ke tempat
ktmu;ketemu
ktny;katanya
ktnya;katanya 
ktr;kantor
kudu;harus
kuper;kurang pergaulan
kuq;kok
kurng;kurang
kuy;ayo
kw;imitasi
ky;seperti
kyak;seperti 
kyaknya;sepertinya 
kyanya;sepertinya 
kyk;seperti
kykny;kayanya
kyknya;sepertinya 
kyny;sepertinya 
kzl;kesal 
la;lah
laen;lain 
laff;cinta
lagian;lagi 
laka;kecelakaan
lam;salam
lambreta;lambat
lamp;lampiran
lansia;lanjut usia
lanud;landasan udara
lapas;lembaga pemasyarakatan
